model_version,precision_at_5,recall_at_10,mrr,ndcg_at_10,average_query_time_ms,training_time_seconds,matrix_shape,matrix_memory_mb
word_tfidf_baseline,1.0,0.3646304675716441,1.0,0.9610573091978746,184.18142432189623,0.0,"(24646, 50000)",24.058338165283203
word_char_tfidf_rerank_0.80_0.15_0.05,0.39999999999999997,0.18525684702155293,0.6838588588588589,0.7171886526004634,1015.0025973043001,153.84684070007643,"(24646, 67582)",255.46688842773438
word_char_tfidf_rerank_0.85_0.10_0.05,0.39999999999999997,0.18525684702155293,0.6838588588588589,0.7171886526004634,1259.70255676185,153.84684070007643,"(24646, 67582)",255.46688842773438
word_char_tfidf_rerank_0.95_0.03_0.02,0.39999999999999997,0.18525684702155293,0.6838588588588589,0.7171886526004634,1486.5897054094946,153.84684070007643,"(24646, 67582)",255.46688842773438
word_char_tfidf_0.90_0.10,0.39999999999999997,0.18525684702155293,0.6838588588588589,0.7171886526004634,1570.9050783834018,153.84684070007643,"(24646, 67582)",255.46688842773438
word_char_tfidf_rerank_0.90_0.07_0.03,0.39999999999999997,0.18525684702155293,0.6838588588588589,0.7171886526004634,1704.0702000062133,153.84684070007643,"(24646, 67582)",255.46688842773438
word_char_tfidf_rerank_1.00_0.00_0.00,0.39999999999999997,0.18525684702155293,0.6838588588588589,0.7171886526004634,1814.3506243249176,153.84684070007643,"(24646, 67582)",255.46688842773438
separate_field_tfidf,0.39999999999999997,0.18525684702155293,0.6838588588588589,0.715049877796641,87.60581892046675,33.76847200002521,"(24646, 67582)",24.56649398803711
word_char_tfidf_1.00_0.00,0.39999999999999997,0.18525684702155293,0.6838588588588589,0.715049877796641,1048.455729726639,153.84684070007643,"(24646, 67582)",255.46688842773438
word_char_tfidf_0.80_0.20,0.39999999999999997,0.18525684702155293,0.6802552552552552,0.7137837791523346,1246.4553270303343,153.84684070007643,"(24646, 67582)",255.46688842773438
word_char_tfidf_0.70_0.30,0.39999999999999997,0.18525684702155293,0.6802552552552552,0.7131812395020273,1479.3398000010466,153.84684070007643,"(24646, 67582)",255.46688842773438
